"id","obs_count","std","median","mean","skew","y"
1,4360,5.46941918720085,4,5.94005449591281,1.84414452879879,0
2,817,7.86007674946257,5,7.56481481481481,1.54397401936173,0
3,845,12.9732341877052,2,5.34810126582278,8.24415981350987,0
4,816,4.34377678172697,2,2.80412371134021,9.46798994533719,0
5,283,5.58152927788968,4,5.44230769230769,2.44848597042514,0
6,765,3.19309068841746,2,3.47727272727273,2.43963394627698,0
7,11738,15.3827588407299,6,11.031954887218,4.02449690024894,1
8,2702,7.88307866844732,3,6.12698412698413,3.26751781826863,0
9,698,4.8149049233946,2,3.40487804878049,9.30679606154388,0
10,1138,4.5194537349393,3,4.42801556420233,2.35055413667921,0
11,627,3.42830543021524,3,3.87037037037037,1.76445412737513,0
12,1050,7.51602657387394,3,4.95283018867925,5.87425154150829,0
13,2270,5.835747988697,3,5.45673076923077,2.30745529577844,0
14,192,3.19648375836769,2,3.49090909090909,1.88873105152344,0
15,2206,8.05804798399729,4,6.46920821114369,3.81971832688365,0
16,329,8.64994106375217,3,6.20754716981132,2.7492789739721,0
17,2250,13.0668590833458,4,8.00711743772242,9.02965181464663,0
18,2400,15.3011689491411,3,5.36912751677852,16.9529291575059,0
19,3206,9.10362741260982,4,7.47319347319347,3.21328992908542,0
20,2711,28.6022193303448,3,8.74516129032258,14.8347306098634,0
21,2068,5.15562814359295,3,4.71070615034169,3.44945170944151,0
22,2147,8.22482200401657,3,4.48225469728601,14.2679162328936,0
23,3549,5.29210607223155,3,4.64528795811518,3.95493643122558,0
24,7054,8.96418315614885,5,7.52025586353945,3.85331919928055,0
25,2824,19.6695039106636,4,7.84444444444444,13.7408682667336,0
26,380,3.05951505774177,2,3.19327731092437,3.47248178615484,0
27,1107,9.87613576976249,5,8.71653543307087,2.46587607581194,0
28,208,2.288788090401,2,2.7012987012987,2.230613616143,0
29,342,2.44466315731961,2,2.69291338582677,2.64827616494095,0
30,6685,9.22372374891317,4,7.18045112781955,7.34225537679818,0
31,1370,6.40956042372876,3,4.50657894736842,7.40133513164571,0
32,2420,6.23636870115082,4,6.18925831202046,2.70403872010944,0
33,2134,7.7457936349255,3,5.72117962466488,4.42347630537481,0
34,1172,13.4134921716729,6,10.8518518518519,2.4122777518303,0
35,3273,8.49603202698581,4,7.40497737556561,2.37128912808084,0
36,484,2.54827611928618,2,3.00621118012422,1.92509184100833,0
37,3002,6.44300021491499,3,5.55925925925926,3.83049120466784,0
38,2482,4.93136239436971,4,5.29211087420043,1.8387917216444,0
39,112,2.40617150657909,2,3.29411764705882,1.01820223750627,0
40,388,2.52267860212714,2,3.18032786885246,2.06348930283175,0
41,1031,4.27509353865475,3,3.80442804428044,4.77242877625123,0
42,757,9.00211508828008,3,5.04666666666667,6.96589639788606,0
43,2101,18.803661761383,4,8.90254237288136,6.370438551444,0
44,826,4.04952336155532,2,2.8,9.22150718672187,0
45,1996,4.70538194291177,2,3.79467680608365,6.4585907741726,0
46,1193,4.48100490874212,2,3.61515151515152,3.87051500539687,0
47,679,4.72978659413442,3,4.68275862068965,2.68331069496991,0
48,1267,5.55318030739862,2,3.94704049844237,7.47070336995625,0
49,2632,3.64728117765417,3,4.38666666666667,2.14336359360719,0
50,475,0.929834752165581,2,1.93089430894309,1.2438307726039,0
51,5484,18.7964558881083,5,9.75800711743772,6.68841903072813,0
52,2114,7.82144247669769,5,7.80073800738007,1.95512526985113,0
53,580,5.66658865083863,3,4.95726495726496,2.22368052079762,0
54,1186,4.31880107137941,3,4.14685314685315,2.34066060901387,0
55,3649,29.3113260533462,6,12.1633333333333,13.4347814653806,0
56,1188,9.7138622337799,3,7.425,2.59668092309858,0
57,1232,5.46475462400075,2,4.43165467625899,3.82522661357127,0
58,507,4.11006821797018,2,3.78358208955224,2.96063900145526,0
59,3363,52.4705782130039,3,7.67808219178082,20.5711482063314,0
60,319,3.43637046537603,3,3.93827160493827,2.03968680120837,0
61,289,3.98082734453359,2,3.70512820512821,1.91602887091221,0
62,6921,38.2974040467335,6,12.2495575221239,18.4698017912218,0
63,2078,6.60052234499196,4,5.97126436781609,2.63592146694961,0
64,10365,34.0677456189444,6,12.3099762470309,15.0784557976763,0
65,2668,6.02761859335632,3,4.60794473229706,6.00479401003894,0
66,610,5.29126268494745,2,3.42696629213483,7.43249504211072,0
67,2128,10.6529345768364,3,6.27728613569322,4.90345812732833,0
68,1175,4.6843183182315,2,3.81493506493507,5.29693425280727,0
69,6389,9.3115082327127,4,6.2392578125,13.0115490159634,0
70,996,4.05208128559855,2,3.890625,3.31891475258822,0
71,4222,8.33122705077591,4,6.51543209876543,3.82942259548808,0
72,244,2.89281205437216,3.5,4.06666666666667,1.43932854541988,0
73,10226,15.175707342932,5,9.91852570320078,5.26753561495662,0
74,443,5.49460483870674,2,4.47474747474747,2.73163243525455,0
75,4989,45.4891915481653,4,8.47028862478778,22.923096347532,0
76,1137,5.09912155471971,3,4.40697674418605,2.99024998003611,0
77,1708,12.3516786857818,4,6.77777777777778,8.1507969795814,0
78,5671,8.06867592006087,5,7.67388362652233,2.13919908246208,0
79,2061,5.3644520175151,4,5.54032258064516,2.67820564801135,0
80,705,4.93255865762396,3,4.22155688622755,3.88215854173632,0
81,201,9.65649618618961,2,4.27659574468085,5.94201664329864,0
82,1325,4.21768327538622,2,3.92011834319527,3.51910591204765,0
83,3821,11.4944191770568,5,9.27427184466019,2.92772277378407,0
84,1063,3.64882323403332,3,4.0727969348659,2.06660533118677,0
85,3099,7.00421159334482,4,6.87139689578714,2.66701417138209,0
86,237,3.05093878424572,3.5,4.08620689655172,1.32044716241588,0
87,1677,3.24189472730453,2,3.30769230769231,3.05142835325426,0
88,2117,5.21748220748552,3,4.71492204899777,3.79463255592947,0
89,3553,10.4141839273517,3,6.54327808471455,6.08951571692365,0
90,242,2.65505714615118,2,2.65934065934066,2.55120092129685,0
91,3480,6.05458008707457,3,5.23308270676692,4.96331338948667,0
92,235,3.89347289777054,4,4.89583333333333,1.93260526723231,0
93,3969,8.76092160670147,4,6.52796052631579,4.07543095315872,0
94,4017,15.6065980041571,3,5.58692628650904,21.5363525198582,0
95,4574,7.70237501307899,4,6.46045197740113,5.21272552650846,0
96,104,3.38320688030247,1,2.36363636363636,3.92142137836557,0
97,2181,4.81022426625578,3,5.13176470588235,1.82862228956084,0
98,8260,23.8810502233853,5,8.57736240913811,24.3684825442632,0
99,2127,12.8918768015049,4,5.90833333333333,14.646876236417,0
