ID_FIRM,P1110_B,P1110_E,P1120_B,P1120_E,P1130_B,P1130_E,P1140_B,P1140_E,P1150_B,P1150_E,P1160_B,P1160_E,P1170_B,P1170_E,P1180_B,P1180_E,P1190_B,P1190_E,P1100_B,P1100_E,P1210_B,P1210_E,P1220_B,P1220_E,P1230_B,P1230_E,P1240_B,P1240_E,P1250_B,P1250_E,P1260_B,P1260_E,P1200_B,P1200_E,P1600_B,P1600_E,P1310_B,P1310_E,P1320_B,P1320_E,P1340_B,P1340_E,P1350_B,P1350_E,P1360_B,P1360_E,P1370_B,P1370_E,P1300_B,P1300_E,P1410_B,P1410_E,P1420_B,P1420_E,P1430_B,P1430_E,P1450_B,P1450_E,P1400_B,P1400_E,P1510_B,P1510_E,P1520_B,P1520_E,P1530_B,P1530_E,P1540_B,P1540_E,P1550_B,P1550_E,P1500_B,P1500_E,P1700_B,P1700_E,P2110_B,P2110_E,P2120_B,P2120_E,P2100_B,P2100_E,P2210_B,P2210_E,P2220_B,P2220_E,P2200_B,P2200_E,P2310_B,P2310_E,P2320_B,P2320_E,P2330_B,P2330_E,P2340_B,P2340_E,P2350_B,P2350_E,P2300_B,P2300_E,P2410_B,P2410_E,P2421_B,P2421_E,P2430_B,P2430_E,P2450_B,P2450_E,P2460_B,P2460_E,P2400_B,P2400_E,BANKR
703126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7712,0,0,0,2231,0,0,0,10,0,0,0,9953,0,9953,0,10,0,0,0,0,0,0,0,0,0,71,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,9843,0,0,0,0,0,0,0,9843,0,9924,0,14216,0,13725,0,491,0,563,0,0,0,-72,0,0,0,0,0,0,0,0,0,4,0,-76,0,17,0,0,0,0,0,0,0,0,0,-93,0
703127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,10,0,0,0,926,0,0,0,936,0,954,0,1022,0,0,0,0,0,0,0,0,0,-73,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,0,0,0,0,0,0,0,0,0,59,0,-59,0,0,0,0,0,0,0,0,0,32,0,-91,0,0,0,0,0,0,0,18,0,0,0,-73,0
703128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2326,0,0,0,2326,0,2326,0,10,0,0,0,0,0,0,0,0,0,-8,0,2,0,0,0,0,0,0,0,0,0,0,0,2357,0,0,0,0,0,0,0,0,0,2357,0,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,-8,0,0,0,0,0,0,0,0,0,0,0,-8,0
703129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,44,0,44,0,20,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,0,43,0,24,0,17,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
703130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7714,0,1216,0,1530,0,0,0,241,0,5,0,10706,0,10706,0,10,0,0,0,0,0,0,0,0,0,362,0,372,0,0,0,0,0,0,0,0,0,0,0,2838,0,7540,0,0,0,0,0,0,0,10378,0,10750,0,22934,0,19275,0,3659,0,2739,0,0,0,920,0,0,0,6,0,0,0,0,0,26,0,900,0,98,0,0,0,0,0,0,0,0,0,802,0
703131,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,3,0,0,0,62,0,62,0,10,0,0,0,0,0,0,0,0,0,-2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,64,0,60,0,0,0,60,0,0,0,53,0,7,0,0,0,0,0,0,0,0,0,8,0,-1,0,0,0,0,0,0,0,0,0,1,0,-2,0
703134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,34,0,0,0,1,0,0,0,119,0,119,0,0,0,0,0,0,0,0,0,0,0,-160,0,-160,0,127,0,0,0,0,0,0,0,127,0,0,0,159,0,0,0,0,0,0,0,159,0,126,0,2050,0,2089,0,-39,0,87,0,34,0,-160,0,0,0,0,0,0,0,0,0,64,0,-224,0,0,0,0,0,0,0,0,0,0,0,-224,0
703135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,90,0,0,0,6,0,23,0,255,0,255,0,10,0,0,0,0,0,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,42,0,198,0,0,0,0,0,0,0,240,0,258,0,742,0,576,0,166,0,168,0,0,0,-2,0,0,0,0,0,0,0,0,0,8,0,-10,0,2,0,0,0,0,0,0,0,0,0,-12,0
703136,0,0,0,0,0,0,0,0,0,0,0,6657,0,0,0,0,0,0,0,6657,0,0,0,0,0,1962,0,0,0,45,0,0,0,2007,0,8664,0,0,0,0,0,0,0,0,0,0,0,-785,0,-785,0,0,0,0,0,0,0,0,0,0,0,8349,0,840,0,0,0,0,0,0,0,9189,0,8404,0,574,0,1159,0,-585,0,0,0,0,0,-585,0,0,0,0,0,0,0,0,0,141,0,-726,0,35,0,0,0,0,0,0,0,0,0,-761,0
703137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,4,0,168,0,198,0,198,0,25,0,0,0,0,0,0,0,0,0,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,165,0,199,0,13536,0,0,0,13536,0,0,0,14223,0,-687,0,0,0,0,0,0,0,13,0,0,0,-674,0,2,0,0,0,0,0,0,0,0,0,-676,0
703138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38503,0,0,0,104,0,0,0,38607,0,38607,0,10,0,0,0,0,0,0,0,0,0,-247,0,-237,0,38391,0,0,0,0,0,0,0,38391,0,1,0,1825,0,0,0,0,0,0,0,1826,0,39980,0,7837,0,5764,0,2073,0,0,0,271,0,1802,0,0,0,0,0,2018,0,0,0,13,0,-229,0,0,0,0,0,0,0,0,0,67,0,-296,0
703139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,171,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,86,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703141,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,209,0,2611,0,0,0,9457,0,0,0,2592,0,0,0,14660,0,14869,0,10,0,0,0,0,0,0,0,0,0,-115,0,-105,0,8224,0,0,0,0,0,0,0,8224,0,0,0,7098,0,0,0,0,0,0,0,7098,0,15217,0,639,0,607,0,32,0,7,0,105,0,-80,0,0,0,0,0,0,0,0,0,51,0,-131,0,0,0,0,0,0,0,0,0,0,0,-131,0
703142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,6159,0,0,0,5,0,0,0,6312,0,6312,0,10,0,0,0,0,0,0,0,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6352,0,0,0,0,0,0,0,6352,0,6376,0,4486,0,3468,0,1018,0,918,0,0,0,100,0,0,0,0,0,0,0,0,0,90,0,10,0,3,0,0,0,0,0,0,0,0,0,7,0
703143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,61,0,61,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,51,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,31,0,0,0,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,50,0,-19,0,0,0,0,0,0,0,0,0,0,0,-19,0
703144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,10,0,0,0,24,0,24,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,0,0,8945,0,3929,0,409,0,0,0,15276,0,15276,0,50,0,0,0,0,0,0,0,0,0,5775,0,5825,0,8107,0,0,0,0,0,0,0,8107,0,0,0,1225,0,0,0,0,0,0,0,1225,0,15157,0,21681,0,13527,0,8154,0,2018,0,0,0,6136,0,0,0,77,0,0,0,31,0,684,0,5560,0,0,0,0,0,0,0,0,0,148,0,5412,0
703146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,-53,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,82,0,29,0,0,0,0,0,0,0,0,0,123,0,-123,0,0,0,0,0,0,0,0,0,15,0,-138,0,0,0,0,0,0,0,28,0,0,0,-110,0
703147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,67,0,67,0,10,0,0,0,0,0,0,0,0,0,34,0,44,0,5,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,20,0,69,0,1113,0,928,0,185,0,0,0,176,0,9,0,0,0,0,0,0,0,0,0,14,0,-5,0,8,0,0,0,0,0,0,0,0,0,-13,0
703149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4656,0,0,0,0,0,0,0,4656,0,4656,0,10,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4621,0,0,0,0,0,0,0,4621,0,4621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
