ID_FIRM,P1110_B,P1110_E,P1120_B,P1120_E,P1130_B,P1130_E,P1140_B,P1140_E,P1150_B,P1150_E,P1160_B,P1160_E,P1170_B,P1170_E,P1180_B,P1180_E,P1190_B,P1190_E,P1100_B,P1100_E,P1210_B,P1210_E,P1220_B,P1220_E,P1230_B,P1230_E,P1240_B,P1240_E,P1250_B,P1250_E,P1260_B,P1260_E,P1200_B,P1200_E,P1600_B,P1600_E,P1310_B,P1310_E,P1320_B,P1320_E,P1340_B,P1340_E,P1350_B,P1350_E,P1360_B,P1360_E,P1370_B,P1370_E,P1300_B,P1300_E,P1410_B,P1410_E,P1420_B,P1420_E,P1430_B,P1430_E,P1450_B,P1450_E,P1400_B,P1400_E,P1510_B,P1510_E,P1520_B,P1520_E,P1530_B,P1530_E,P1540_B,P1540_E,P1550_B,P1550_E,P1500_B,P1500_E,P1700_B,P1700_E,P2110_B,P2110_E,P2120_B,P2120_E,P2100_B,P2100_E,P2210_B,P2210_E,P2220_B,P2220_E,P2200_B,P2200_E,P2310_B,P2310_E,P2320_B,P2320_E,P2330_B,P2330_E,P2340_B,P2340_E,P2350_B,P2350_E,P2300_B,P2300_E,P2410_B,P2410_E,P2421_B,P2421_E,P2430_B,P2430_E,P2450_B,P2450_E,P2460_B,P2460_E,P2400_B,P2400_E,BANKR
687501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,103,0,103,0,103,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,2,0,58,0,0,0,85,0,0,0,460,0,460,0,0,0,0,0,0,0,0,0,0,0,283,0,283,0,0,0,26,0,0,0,0,0,26,0,0,0,157,0,0,0,0,0,0,0,157,0,466,0,2185,0,1330,0,855,0,0,0,485,0,370,0,0,0,0,0,0,0,0,0,57,0,313,0,56,0,0,0,25,0,0,0,0,0,232,0
687503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11305,0,0,0,756,0,0,0,12061,0,12061,0,10,0,0,0,0,0,0,0,0,0,653,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,11172,0,0,0,0,0,0,0,11172,0,11835,0,81664,0,77570,0,4094,0,0,0,534,0,3560,0,0,0,0,0,0,0,0,0,31,0,3529,0,171,0,0,0,0,0,0,0,0,0,3358,0
687504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,0,0,0,7402,0,0,0,252,0,0,0,9603,0,9603,0,301,0,0,0,0,0,0,0,0,0,113,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,9014,0,0,0,0,0,0,0,9014,0,9428,0,5178,0,4966,0,212,0,19,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,193,0,23,0,0,0,0,0,0,0,0,0,170,0
687505,0,0,0,0,0,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,1026,0,2046,0,0,0,771,0,0,0,105,0,0,0,2922,0,3948,0,0,0,0,0,0,0,0,0,0,0,150,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,3792,0,0,0,0,0,0,0,3792,0,3942,0,17754,0,0,0,17754,0,0,0,17043,0,711,0,0,0,0,0,0,0,0,0,191,0,520,0,36,0,0,0,0,0,0,0,0,0,484,0
687506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,326,0,326,0,212,0,0,0,0,0,0,0,0,0,80,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,34,0,326,0,30512,0,31539,0,-1027,0,0,0,0,0,-1027,0,0,0,0,0,0,0,0,0,3,0,-1030,0,21,0,0,0,0,0,0,0,0,0,-1051,0
687507,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,33,0,2183,0,0,0,0,0,0,0,2216,0,2226,0,10,0,0,0,0,0,0,0,0,0,180,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,1924,0,0,0,0,0,0,0,1924,0,2114,0,23917,0,24085,0,-168,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,-168,0,45,0,0,0,0,0,0,0,0,0,-213,0
687508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,8497,0,0,0,8543,0,8543,0,10,0,0,0,0,0,0,0,0,0,-2527,0,-2517,0,11063,0,0,0,0,0,0,0,11063,0,0,0,68,0,0,0,0,0,0,0,68,0,8614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,2056,0,-2499,0,0,0,-490,0,0,0,0,0,0,0,-2499,0
687509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,12,0,43,0,0,0,0,0,0,0,0,0,-57,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,47,0,-47,0,0,0,0,0,0,0,0,0,9,0,-56,0,0,0,0,0,0,0,0,0,0,0,-56,0
687510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,57,0,20,0,52,0,0,0,926,0,926,0,0,0,0,0,0,0,0,0,0,0,338,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,607,0,945,0,1784,0,1225,0,559,0,0,0,476,0,83,0,0,0,0,0,0,0,371,0,48,0,406,0,0,0,0,0,0,0,0,0,23,0,383,0
